OTU	Occ	Domain	Phylum	Class	Order	Family	Genus	Species	Genus_Class	com_abund	RelAbund	PercentRelAbund
JF429125.1.1528	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.043007649	0.000955726	0.095572553
FPLS01016958.18.1514	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 env.OPS 17	 Ambiguous_taxa	 Ambiguous_taxa	 Bacteroidia	0.042971569	0.000954924	0.095492375
HQ166693.1.1493	1	Bacteria	 Acidobacteria	 Subgroup 5	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 5	0.042863328	0.000952518	0.09525184
FPLL01006381.10.1474	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Micropepsales	 Micropepsaceae	 uncultured	 Ambiguous_taxa	 Alphaproteobacteria	0.042791168	0.000950915	0.095091483
FPLS01022362.15.1489	1	Bacteria	 Chloroflexi	 Anaerolineae	 SBR1031	 A4b	 Ambiguous_taxa	 Ambiguous_taxa	 Anaerolineae	0.042791168	0.000950915	0.095091483
EF515951.1.1453	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 Ellin6067	 uncultured bacterium	 Ellin6067	0.042719007	0.000949311	0.094931127
AB821087.1.1453	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Alphaproteobacteria	0.042466445	0.000943699	0.094369879
EU335407.1.1494	1	Bacteria	 Acidobacteria	 Acidobacteriia	 Subgroup 2	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Acidobacteriia	0.042430365	0.000942897	0.0942897
FPLS01038376.19.1499	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	 Microvirga	 Ambiguous_taxa	 Microvirga	0.042249964	0.000938888	0.093888809
JX025746.1.1509	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.042249964	0.000938888	0.093888809
KT283080.1.1499	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 MND1	 Ambiguous_taxa	 MND1	0.042249964	0.000938888	0.093888809
AY212598.1.1550	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Opitutales	 Opitutaceae	 Lacunisphaera	 Ambiguous_taxa	 Lacunisphaera	0.04167268	0.00092606	0.092605956
FPLS01015067.17.1524	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.040878915	0.00090842	0.090842033
JN417583.1.1527	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 TRA3-20	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.040734594	0.000905213	0.090521319
FJ872372.7348.8893	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	NA	 Chthoniobacter	0.039760427	0.000883565	0.088356505
FPLL01004464.10.1549	1	Bacteria	 Planctomycetes	 Pla4 lineage	 metagenome	 metagenome	 metagenome	 metagenome	 Planctomycetes	0.039219224	0.000871538	0.08715383
FPLS01039594.12.1466	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 KF-JG30-B3	 Ambiguous_taxa	 Ambiguous_taxa	 Alphaproteobacteria	0.039074903	0.000868331	0.086833117
DQ537531.1.1476	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	NA	NA	 Alphaproteobacteria	0.0387141	0.000860313	0.086031334
EU025070.1.1531	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Verrucomicrobiae	0.038605859	0.000857908	0.085790799
FPLS01036854.16.1552	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 Ambiguous_taxa	 Chthoniobacter	0.038317217	0.000851494	0.085149372
FQWF01000024.3946.5465	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 Ambiguous_taxa	 Flavobacterium	0.038245057	0.00084989	0.084989016
FPLS01015190.16.1525	1	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 uncultured	 Ambiguous_taxa	 Gemmatimonadetes	0.038064656	0.000845881	0.084588124
KF840371.1.1484	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Blastocatellia (Subgroup 4)	0.038064656	0.000845881	0.084588124
FPLS01000657.15.1544	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Haliangiaceae	 Haliangium	 metagenome	 Haliangium	0.037992495	0.000844278	0.084427767
FPLS01011389.10.1539	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	NA	NA	NA	 Deltaproteobacteria	0.037884255	0.000841872	0.084187232
JN038614.1.1527	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Verrucomicrobiae	0.037848174	0.000841071	0.084107054
FPLL01003424.15.1517	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 AKYH767	 Ambiguous_taxa	 Ambiguous_taxa	 Bacteroidia	0.037667773	0.000837062	0.083706163
JQ769659.1.1463	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 uncultured bacterium	 uncultured bacterium	 Phycisphaerae	0.037306971	0.000829044	0.082904379
AB240473.1.1492	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Dinghuibacter	NA	 Dinghuibacter	0.036874008	0.000819422	0.08194224
KJ782244.1.1479	1	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 uncultured	 Ambiguous_taxa	 Gemmatimonadetes	0.036549286	0.000812206	0.081220635
EF018752.1.1386	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Cytophagales	 Microscillaceae	 uncultured	 uncultured bacterium	 Bacteroidia	0.036332804	0.000807396	0.080739565
HQ697551.1.1454	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Pedomicrobium	NA	 Pedomicrobium	0.036332804	0.000807396	0.080739565
HQ729781.1.1520	1	Bacteria	 Acidobacteria	 Subgroup 6	NA	NA	NA	NA	 Subgroup 6	0.035935921	0.000798576	0.079857603
EU881205.1.1501	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 uncultured bacterium	 uncultured bacterium	 Gammaproteobacteria	0.035575119	0.000790558	0.07905582
JQ013480.1.1521	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Aquabacterium	 Ambiguous_taxa	 Aquabacterium	0.035394718	0.000786549	0.078654929
HQ863972.1.1502	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.035322557	0.000784946	0.078494572
FPLS01016362.21.1527	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 Ambiguous_taxa	 Ferruginibacter	0.035214317	0.00078254	0.078254037
EU335231.1.1522	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Haliangiaceae	 Haliangium	 Ambiguous_taxa	 Haliangium	0.034637033	0.000769712	0.076971184
KC191783.1.1480	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Azospirillales	 Azospirillaceae	 Skermanella	 Ambiguous_taxa	 Skermanella	0.033987588	0.00075528	0.075527974
EU644185.1.1493	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 Ambiguous_taxa	 Ferruginibacter	0.033951508	0.000754478	0.075447796
EF018487.1.1386	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.033915428	0.000753676	0.075367618
FPLS01027209.11.1516	1	Bacteria	 Actinobacteria	 Thermoleophilia	 Solirubrobacterales	 67-14	 Ambiguous_taxa	 Ambiguous_taxa	 Thermoleophilia	0.033771107	0.000750469	0.075046904
KJ081630.1.1524	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavisolibacter	 Ambiguous_taxa	 Bacteroidia	0.033446385	0.000743253	0.074325299
HQ190266.1.1492	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	 uncultured	NA	 Blastocatellia (Subgroup 4)	0.033374224	0.000741649	0.074164943
KJ782998.1.1484	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 Blastocatellales	 Blastocatellaceae	NA	NA	 Blastocatellia (Subgroup 4)	0.033121663	0.000736037	0.073603695
HQ385629.1.1411	1	Bacteria	 Planctomycetes	 OM190	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 OM190	0.033013422	0.000733632	0.07336316
EU979088.1.1537	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	NA	 Chthoniobacter	0.032291817	0.000717596	0.071759593
HQ132469.1.1494	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.032291817	0.000717596	0.071759593
GQ500801.1.1486	1	Bacteria	 Planctomycetes	 Planctomycetacia	 Pirellulales	 Pirellulaceae	 Pirellula	 Ambiguous_taxa	 Pirellula	0.032075336	0.000712785	0.071278523
FPLL01006504.92.1631	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfarculales	 Desulfarculaceae	 uncultured	 uncultured bacterium	 Deltaproteobacteria	0.031642373	0.000703164	0.070316384
HQ118938.1.1525	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.031606292	0.000702362	0.070236205
JQ861344.1.1497	1	Bacteria	 Acidobacteria	 Blastocatellia (Subgroup 4)	 11-24	NA	NA	NA	 Blastocatellia (Subgroup 4)	0.031498052	0.000699957	0.06999567
KX753165.1.1500	1	Bacteria	 Actinobacteria	 Thermoleophilia	 Solirubrobacterales	 Solirubrobacteraceae	 Solirubrobacter	 Ambiguous_taxa	 Solirubrobacter	0.031173329	0.000692741	0.069274066
KF712663.1.1491	1	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 uncultured	 Ambiguous_taxa	 Gemmatimonadetes	0.031101169	0.000691137	0.069113709
HQ118264.1.1458	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 uncultured	 Ambiguous_taxa	 Alphaproteobacteria	0.030920768	0.000687128	0.068712817
FPLS01027725.10.1517	1	Bacteria	 Acidobacteria	 Subgroup 5	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 5	0.030704286	0.000682317	0.068231747
FOOF01000043.3238.4772	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.030487805	0.000677507	0.067750678
DQ228402.1.1456	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Elsterales	 uncultured	 uncultured bacterium	 uncultured bacterium	 Alphaproteobacteria	0.030199163	0.000671093	0.067109251
FPLS01007753.11.1539	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.030199163	0.000671093	0.067109251
FQ859183.1179124.1180623	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Flavobacteriales	 Flavobacteriaceae	 Flavobacterium	 Ambiguous_taxa	 Flavobacterium	0.030199163	0.000671093	0.067109251
HQ597256.1.1508	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.030127002	0.000669489	0.066948894
EU861820.1.1488	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.029657959	0.000659066	0.065906576
AY661980.1.1546	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.029549719	0.00065666	0.065666041
BDFO01000001.6996028.6997540	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Oligoflexales	 Oligoflexaceae	 Oligoflexus	 Ambiguous_taxa	 Oligoflexus	0.029405398	0.000653453	0.065345328
HQ397524.1.1516	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	NA	NA	NA	 Deltaproteobacteria	0.029116756	0.000647039	0.064703901
KJ955646.1.1519	1	Bacteria	 Acidobacteria	 Holophagae	 Subgroup 7	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Holophagae	0.029008515	0.000644634	0.064463367
GEXO01005455.1.1513	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacteriales	 Enterobacteriaceae	 Escherichia-Shigella	 Malaclemys terrapin terrapin	 Escherichia-Shigella	0.028647713	0.000636616	0.063661583
AB695356.1.1474	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Hyphomicrobiaceae	 Hyphomicrobium	 Ambiguous_taxa	 Hyphomicrobium	0.028539472	0.00063421	0.063421048
JX545207.1.1517	1	Bacteria	 Actinobacteria	 Actinobacteria	 Micrococcales	 Microbacteriaceae	 Subtercola	 Ambiguous_taxa	 Subtercola	0.028539472	0.00063421	0.063421048
KY992624.1.1446	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 KF-JG30-B3	 Ambiguous_taxa	 Ambiguous_taxa	 Alphaproteobacteria	0.028539472	0.00063421	0.063421048
KM978287.1.1535	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Ralstonia	 Ambiguous_taxa	 Ralstonia	0.028503392	0.000633409	0.06334087
FPLS01001617.10.1520	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.028106509	0.000624589	0.062458909
HM243853.1.1518	1	Bacteria	 Latescibacteria	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 Latescibacteria	0.028070429	0.000623787	0.06237873
KM108687.1.1516	1	Bacteria	 Actinobacteria	 Thermoleophilia	 Gaiellales	 uncultured	NA	NA	 Thermoleophilia	0.028070429	0.000623787	0.06237873
KJ191992.1.1493	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Nitrosomonadaceae	 Ellin6067	NA	 Ellin6067	0.027962188	0.000621382	0.062138195
FPLS01003059.10.1476	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 uncultured	 Ambiguous_taxa	 Alphaproteobacteria	0.027817867	0.000618175	0.061817482
AB240256.1.1522	1	Bacteria	 Acidobacteria	 Subgroup 17	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 17	0.027529225	0.000611761	0.061176056
BBWU01000045.81659.83142	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.027312744	0.00060695	0.060694986
HQ119341.1.1523	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.027168423	0.000603743	0.060374272
FPLS01021120.11.1480	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 uncultured	 Ambiguous_taxa	 Alphaproteobacteria	0.027024102	0.000600536	0.060053559
GQ500694.1.1517	1	Bacteria	 Acidobacteria	 Subgroup 22	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 22	0.026915861	0.00059813	0.059813024
JN868906.1.1541	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Verrucomicrobiales	 Verrucomicrobiaceae	 uncultured	 Ambiguous_taxa	 Verrucomicrobiae	0.02673546	0.000594121	0.059412133
AY212692.1.1526	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Methylophilaceae	 Methylotenera	NA	 Methylotenera	0.026518978	0.000589311	0.058931063
OTU_dn_2	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	NA	NA	 Phycisphaerae	0.026446818	0.000587707	0.058770706
OTU_dn_400	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Desulfarculales	 Desulfarculaceae	 uncultured	NA	 Deltaproteobacteria	0.026446818	0.000587707	0.058770706
JQ861365.1.1496	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.026266417	0.000583698	0.058369814
FR749739.1.1499	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Ferruginibacter	 Ambiguous_taxa	 Ferruginibacter	0.026158176	0.000581293	0.05812928
FPLS01029907.13.1490	1	Bacteria	 Chloroflexi	 KD4-96	NA	NA	NA	NA	 KD4-96	0.026122096	0.000580491	0.058049101
KF712645.1.1504	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Steroidobacterales	 Woeseiaceae	 JTB255 marine benthic group	 uncultured bacterium	 JTB255 marine benthic group	0.026049935	0.000578887	0.057888745
FPLL01000982.17.1552	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	NA	 Chthoniobacter	0.025905614	0.00057568	0.057568031
KM200447.1.1496	1	Bacteria	 Acidobacteria	 Subgroup 5	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 5	0.025797373	0.000573275	0.057327496
JQ311867.1.1401	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 uncultured bacterium	 uncultured bacterium	 Phycisphaerae	0.025689133	0.00057087	0.057086961
FPLS01048191.22.1522	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Flavitalea	 Ambiguous_taxa	 Flavitalea	0.025653052	0.000570068	0.057006783
FPLL01000464.16.1551	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 BIrii41	 Ambiguous_taxa	 Ambiguous_taxa	 Deltaproteobacteria	0.025436571	0.000565257	0.056525713
FPLS01016141.14.1529	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 uncultured	 Ambiguous_taxa	 Gammaproteobacteria	0.025436571	0.000565257	0.056525713
FPLS01040505.13.1515	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Cytophagales	 Microscillaceae	 Ohtaekwangia	 uncultured bacterium	 Ohtaekwangia	0.02532833	0.000562852	0.056285178
LC093160.1.1500	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	NA	NA	 Gammaproteobacteria	0.02525617	0.000561248	0.056124822
EF516609.1.1430	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	NA	NA	 Phycisphaerae	0.025220089	0.000560446	0.056044643
EF492973.1.1535	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 uncultured bacterium	 uncultured bacterium	 Verrucomicrobiae	0.025184009	0.000559645	0.055964465
JF429136.1.1504	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 SC-I-84	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.025147929	0.000558843	0.055884287
FPLS01041815.18.1487	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.024967528	0.000554834	0.055483395
KF037718.1.1467	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 Ambiguous_taxa	 Ambiguous_taxa	 Phycisphaerae	0.024931448	0.000554032	0.055403217
KX539267.1.1530	1	Bacteria	 Actinobacteria	 Actinobacteria	 Streptomycetales	 Streptomycetaceae	 Streptomyces	 Ambiguous_taxa	 Streptomyces	0.024931448	0.000554032	0.055403217
FPLS01000621.10.1547	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Chthoniobacterales	 Chthoniobacteraceae	 Chthoniobacter	 Ambiguous_taxa	 Chthoniobacter	0.024895367	0.00055323	0.055323038
KY190712.1.1490	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 uncultured bacterium	 uncultured bacterium	 Verrucomicrobiae	0.024751046	0.000550023	0.055002325
FPLL01002574.98.1367	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Parafilimonas	NA	 Parafilimonas	0.024678886	0.00054842	0.054841969
FPLL01008814.12.1514	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 uncultured	 Ambiguous_taxa	 Bacteroidia	0.024390244	0.000542005	0.054200542
JF833511.1.1534	1	Bacteria	 Verrucomicrobia	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 Ambiguous_taxa	 Ambiguous_taxa	 Verrucomicrobiae	0.024318083	0.000540402	0.054040185
FPLS01009649.9.1480	1	Bacteria	 Chloroflexi	 TK10	 metagenome	 metagenome	 metagenome	 metagenome	 TK10	0.023993361	0.000533186	0.053318581
KC172238.1.1568	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.023993361	0.000533186	0.053318581
AY679161.1.1526	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Massilia	 Ambiguous_taxa	 Massilia	0.02381296	0.000529177	0.052917689
FPLS01024663.11.1504	1	Bacteria	 Acidobacteria	 Acidobacteriia	 Solibacterales	 Solibacteraceae (Subgroup 3)	 Candidatus Solibacter	 Ambiguous_taxa	 Candidatus Solibacter	0.023704719	0.000526772	0.052677154
JN178270.1.1481	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.023632559	0.000525168	0.052516797
FPLS01013235.1.1489	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Polyangiaceae	 Ambiguous_taxa	NA	 Deltaproteobacteria	0.023560398	0.000523564	0.052356441
KC541303.1.1536	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 Burkholderiaceae	 Polaromonas	NA	 Polaromonas	0.023379997	0.000519555	0.051955549
AB240233.1.1440	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Beijerinckiaceae	NA	NA	 Alphaproteobacteria	0.023343917	0.000518754	0.051875371
FPLS01007672.18.1477	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Caulobacterales	 Caulobacteraceae	 Phenylobacterium	 Ambiguous_taxa	 Phenylobacterium	0.023343917	0.000518754	0.051875371
AY281352.5002.6584	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.023055275	0.000512339	0.051233944
AY673390.1.1406	1	Bacteria	 Planctomycetes	 Phycisphaerae	 Tepidisphaerales	 WD2101 soil group	 Ambiguous_taxa	 Ambiguous_taxa	 Phycisphaerae	0.022802713	0.000506727	0.050672696
JX079365.1.1476	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 Sphingomonas	 Ambiguous_taxa	 Sphingomonas	0.022802713	0.000506727	0.050672696
EU881183.1.1514	1	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Haliangiaceae	 Haliangium	 uncultured bacterium	 Haliangium	0.022586232	0.000501916	0.050191626
JF712662.1.1483	1	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhizobiales	 Xanthobacteraceae	 Bradyrhizobium	 uncultured Bradyrhizobium sp.	 Bradyrhizobium	0.02226151	0.0004947	0.049470021
FOXQ01000003.275613.277143	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Chitinophagales	 Chitinophagaceae	 Parafilimonas	 Ambiguous_taxa	 Parafilimonas	0.022225429	0.000493898	0.049389843
FN811209.1.1508	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 A21b	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.022117189	0.000491493	0.049149308
HM438266.1.1446	1	Bacteria	 Chloroflexi	 Anaerolineae	 SBR1031	 A4b	NA	NA	 Anaerolineae	0.022117189	0.000491493	0.049149308
KC424667.1.1505	1	Bacteria	 Bacteroidetes	 Bacteroidia	 Sphingobacteriales	 env.OPS 17	 Ambiguous_taxa	 Ambiguous_taxa	 Bacteroidia	0.022081108	0.000490691	0.04906913
OTU_dn_39	1	Bacteria	 Planctomycetes	 OM190	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 uncultured bacterium	 OM190	0.022045028	0.00048989	0.048988951
HQ697395.1.1506	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Betaproteobacteriales	 TRA3-20	 Ambiguous_taxa	 Ambiguous_taxa	 Gammaproteobacteria	0.021900707	0.000486682	0.048668238
JQ396608.1.1490	1	Bacteria	 Actinobacteria	 Actinobacteria	 Micrococcales	 Cellulomonadaceae	 Cellulomonas	 Ambiguous_taxa	 Cellulomonas	0.021828547	0.000485079	0.048507882
EU445216.1.1546	1	Bacteria	 Acidobacteria	 Subgroup 6	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Ambiguous_taxa	 Subgroup 6	0.021756386	0.000483475	0.048347525
